Player,Year,Rnd,Pick,DrAge,Tm,G,GS,College/Univ
Tom Brady,2000,6,199,23,NWE,318,316,Michigan
Drew Brees,2001,2,32,22,SDG,287,286,Purdue
Ben Roethlisberger,2004,1,11,22,PIT,249,247,Miami (OH)
Philip Rivers,2004,1,4,22,NYG,244,240,North Carolina St.
Eli Manning,2004,1,1,23,SDG,236,234,Mississippi
Matt Ryan,2008,1,3,23,ATL,222,222,Boston Col.
Aaron Rodgers,2005,1,24,21,GNB,213,206,California
Matthew Stafford,2009,1,1,21,DET,182,182,Georgia
Carson Palmer,2003,1,1,23,CIN,182,181,USC
Joe Flacco,2008,1,18,23,BAL,178,176,Delaware
Alex Smith,2005,1,1,21,SFO,174,167,Utah
Ryan Fitzpatrick,2005,7,250,22,STL,166,147,Harvard
Matt Schaub,2004,3,90,23,ATL,155,93,Virginia
Jay Cutler,2006,1,11,23,DEN,153,153,Vanderbilt
Michael Vick,2001,1,1,21,ATL,143,115,Virginia Tech
Derek Carr,2014,2,36,23,OAK,127,127,Fresno St.
Brad Smith,2006,4,103,22,NYJ,127,24,Missouri
Matt Cassel,2005,7,230,23,NWE,107,81,USC
Josh McCown,2002,3,81,23,ARI,102,76,Sam Houston St.
Marc Bulger,2000,6,168,23,NOR,96,95,West Virginia
David Carr,2002,1,1,23,HOU,94,79,Fresno St.
Jason Campbell,2005,1,25,23,WAS,90,79,Auburn
Chad Pennington,2000,1,18,24,NYJ,89,81,Marshall
Kyle Orton,2005,4,106,22,CHI,87,82,Purdue
Andrew Luck,2012,1,1,22,IND,86,86,Stanford
David Garrard,2002,4,108,24,JAX,86,76,East Carolina
Sam Bradford,2010,1,1,22,STL,83,83,Oklahoma
Jameis Winston,2015,1,1,21,TAM,83,77,Florida St.
Joey Harrington,2002,1,3,23,DET,81,76,Oregon
Mark Sanchez,2009,1,5,22,NYJ,79,73,USC
Blake Bortles,2014,1,3,22,JAX,78,73,Central Florida
Tyrod Taylor,2011,6,180,22,BAL,78,53,Virginia Tech
Derek Anderson,2005,6,213,22,BAL,78,49,Oregon St.
Chad Henne,2008,2,57,23,MIA,75,54,Michigan
Kyle Boller,2003,1,19,22,BAL,67,47,California
Logan Thomas,2014,4,120,23,ARI,64,29,Virginia Tech
Seneca Wallace,2003,4,110,23,SEA,64,22,Iowa St.
Kellen Clemens,2006,2,49,23,NYJ,64,21,Oregon
Josh Freeman,2009,1,17,21,TAM,62,61,Kansas St.
Luke McCown,2004,4,106,23,CLE,62,10,Louisiana Tech
Vince Young,2006,1,3,23,TEN,60,50,Texas
Byron Leftwich,2003,1,7,23,JAX,60,50,Marshall
Tarvaris Jackson,2006,2,64,23,MIN,59,34,Alabama St.
Rex Grossman,2003,1,22,23,CHI,54,47,Florida
Matt Flynn,2008,7,209,23,GNB,53,7,LSU
Colt McCoy,2010,3,85,24,CLE,52,33,Texas
Geno Smith,2013,2,39,22,NYJ,45,34,West Virginia
J.P. Losman,2004,1,22,23,BUF,45,33,Tulane
Sage Rosenfels,2001,4,109,23,WAS,44,12,Iowa St.
Mike Glennon,2013,3,73,23,TAM,40,31,North Carolina St.
Tim Rattay,2000,7,212,23,SFO,40,18,Louisiana Tech
Christian Ponder,2011,1,12,23,MIN,38,36,Florida St.
Quincy Carter,2001,2,53,23,DAL,38,34,Georgia
Trent Edwards,2007,3,92,23,BUF,38,33,Stanford
Drew Stanton,2007,2,43,23,DET,38,17,Michigan St.
Patrick Ramsey,2002,1,32,23,WAS,37,24,Tulane
Bruce Gradkowski,2006,6,194,23,TAM,37,20,Toledo
Josh Johnson,2008,5,160,22,TAM,37,9,San Diego
Brandon Weeden,2012,1,22,28,CLE,35,25,Oklahoma St.
Tim Tebow,2010,1,25,23,DEN,35,16,Florida
Kevin Kolb,2007,2,36,23,PHI,34,21,Houston
Trevor Siemian,2015,7,250,23,DEN,33,29,Northwestern
Matt Leinart,2006,1,10,23,ARI,33,18,USC
JaMarcus Russell,2007,1,1,22,OAK,31,25,LSU
Chris Redman,2000,3,75,23,BAL,31,12,Louisville
Chris Weinke,2001,4,106,29,CAR,29,20,Florida St.
Mike McMahon,2001,5,149,22,DET,29,14,Rutgers
Tyler Thigpen,2007,7,217,23,MIN,29,12,Coastal Carolina
A.J. Feeley,2001,5,155,24,PHI,28,18,Oregon
Charlie Frye,2005,3,67,24,CLE,26,23,Akron
Dan Orlovsky,2005,5,145,22,DET,26,12,Connecticut
Charlie Whitehurst,2006,3,81,24,SDG,26,9,Clemson
Brady Quinn,2007,1,22,22,CLE,24,20,Notre Dame
Chris Simms,2003,3,97,23,TAM,23,16,Texas
T.J. Yates,2011,5,152,24,HOU,22,10,North Carolina
Isaiah Stanback,2007,4,103,23,DAL,22,2,Washington
Jimmy Clausen,2010,2,48,22,CAR,21,14,Notre Dame
Brooks Bollinger,2003,6,200,23,NYJ,21,10,Wisconsin
Ryan Mallett,2011,3,74,23,NWE,21,8,Arkansas
John Skelton,2010,5,155,22,ARI,20,17,Fordham
Troy Smith,2007,5,174,23,BAL,20,8,Ohio St.
Brodie Croyle,2006,3,85,23,KAN,18,10,Alabama
Brett Hundley,2015,5,147,22,GNB,18,9,UCLA
Ken Dorsey,2003,7,241,22,SFO,17,13,Miami (FL)
J.T. O'Sullivan,2002,6,186,23,NOR,17,8,UC Davis
A.J. McCarron,2014,5,164,23,CIN,17,4,Alabama
Jim Sorgi,2004,6,193,23,IND,16,0,Wisconsin
Andrew Walter,2005,3,69,23,OAK,15,9,Arizona St.
Zach Mettenberger,2014,6,178,23,TEN,14,10,LSU
Johnny Manziel,2014,1,22,21,CLE,14,8,Texas A&M
Curtis Painter,2009,6,201,24,IND,14,8,Purdue
Sean Mannion,2015,3,89,23,STL,14,3,Oregon St.
Tom Savage,2014,4,135,24,HOU,13,9,Pittsburgh
Marques Tuiasosopo,2001,2,59,22,OAK,13,2,Washington
Pat White,2009,2,44,23,MIA,13,0,West Virginia
Bryce Petty,2015,4,103,24,NYJ,10,7,Baylor
Ryan Lindley,2012,6,185,23,ARI,10,6,San Diego St.
Spergon Wynn,2000,6,183,22,CLE,10,3,Texas St.
John Beck,2007,2,40,26,MIA,9,7,BYU
Drew Henson,2003,6,192,23,HOU,9,1,Michigan
